id,name,geometry,elevation_m,distance_to_coastline_m
758621103,Rickenbacker Trail,"{""type"": ""LineString"", ""coordinates"": [[-80.1665826, 25.7380505], [-80.1665644, 25.7380343], [-80.1665504, 25.7380198], [-80.1665449, 25.7380074], [-80.1665405, 25.7379889], [-80.1665392, 25.7379687], [-80.1665406, 25.737949], [-80.1665443, 25.7379323], [-80.1665535, 25.7379047], [-80.1665623, 25.7378812], [-80.166569, 25.7378572], [-80.1665708, 25.7378416], [-80.1665705, 25.7378267], [-80.1665677, 25.7378153], [-80.1665612, 25.7378037], [-80.1665511, 25.7377894], [-80.1665291, 25.7377661], [-80.1663985, 25.737621], [-80.1663261, 25.7375546], [-80.1656024, 25.7369072], [-80.1653845, 25.7367259], [-80.1653232, 25.7366763], [-80.1652985, 25.7366566], [-80.1652846, 25.7366403], [-80.1652745, 25.7366222], [-80.1652629, 25.7365965]]}",9.0,121.90010958203223
758621104,,"{""type"": ""LineString"", ""coordinates"": [[-80.1666854, 25.7381459], [-80.1666561, 25.7381168], [-80.1666379, 25.7380986]]}",9.0,142.19389014346376
758621105,,"{""type"": ""LineString"", ""coordinates"": [[-80.1666205, 25.738082], [-80.1666019, 25.7380666], [-80.1665826, 25.7380505]]}",9.0,142.38891695490358
758621106,Rickenbacker Trail,"{""type"": ""LineString"", ""coordinates"": [[-80.1666379, 25.7380986], [-80.1666205, 25.738082]]}",9.0,142.1838549115754
758621107,,"{""type"": ""LineString"", ""coordinates"": [[-80.166955, 25.7380297], [-80.1670249, 25.7379631], [-80.1671649, 25.7378298], [-80.1672443, 25.7377542]]}",7.0,83.04460704429046
758621108,Rickenbacker Trail,"{""type"": ""LineString"", ""coordinates"": [[-80.1672443, 25.7377542], [-80.1673007, 25.7377054]]}",7.0,63.642979385643386
758621109,,"{""type"": ""LineString"", ""coordinates"": [[-80.1668388, 25.7381366], [-80.1668689, 25.7381375], [-80.1668988, 25.7381396], [-80.1669193, 25.7381429], [-80.1669423, 25.7381503], [-80.1669627, 25.7381593], [-80.166983, 25.7381701], [-80.1670006, 25.7381826], [-80.1670237, 25.7382009], [-80.1670634, 25.7382323], [-80.1671531, 25.7383021], [-80.1674266, 25.7385346], [-80.167538, 25.7386306], [-80.1675621, 25.738656], [-80.1675735, 25.7386729], [-80.1675882, 25.7386965], [-80.1676177, 25.7387551], [-80.1676298, 25.7387841], [-80.1676613, 25.7388511], [-80.1676875, 25.738897]]}",7.0,108.76902352278158
758621110,,"{""type"": ""LineString"", ""coordinates"": [[-80.1676875, 25.738897], [-80.1677228, 25.7389368], [-80.1677512, 25.7389689]]}",7.0,104.09395940610182
758621118,,"{""type"": ""LineString"", ""coordinates"": [[-80.1672336, 25.7376389], [-80.1673007, 25.7377054]]}",7.0,63.642979385643386
758621119,,"{""type"": ""LineString"", ""coordinates"": [[-80.1671399, 25.7375556], [-80.1671829, 25.7375938], [-80.1672336, 25.7376389]]}",7.0,63.87834518928147
766590691,,"{""type"": ""LineString"", ""coordinates"": [[-80.1669839, 25.7328554], [-80.1669785, 25.7330873], [-80.1670483, 25.7333627], [-80.1670375, 25.7334593], [-80.1669946, 25.7335511], [-80.1668713, 25.7336284], [-80.1664101, 25.7337637], [-80.1659865, 25.733957], [-80.1654245, 25.7346549]]}",-1.0,16.060719553275565
802763718,,"{""type"": ""LineString"", ""coordinates"": [[-80.1644358, 25.736342], [-80.1643398, 25.7361556], [-80.164313, 25.7361347], [-80.1642718, 25.736131], [-80.1640795, 25.7362111], [-80.164062, 25.7362305], [-80.1640568, 25.7362572], [-80.1642056, 25.7365157], [-80.1643322, 25.7364634]]}",9.0,216.98676075128205
1034061668,,"{""type"": ""LineString"", ""coordinates"": [[-80.1640961, 25.7350766], [-80.1639467, 25.7352102]]}",8.0,183.14431667569625
